기간,지역,자전거 가해자사고,자전거 가해자사고,자전거 가해자사고,자전거 피해자사고,자전거 피해자사고,자전거 피해자사고
기간,지역,발생건수,사망자수,부상자수,발생건수,사망자수,부상자수
2010,합계,998,12,"1,036","1,970",22,"2,037"
2010,종로구,14,-,14,25,1,25
2010,중구,17,-,18,26,1,25
2010,용산구,10,-,11,23,1,23
2010,성동구,46,1,45,68,2,67
2010,광진구,33,-,35,124,2,126
2010,동대문구,53,1,56,115,1,115
2010,중랑구,115,1,116,93,4,94
2010,성북구,23,-,23,75,-,77
2010,강북구,16,-,17,56,-,62
2010,도봉구,33,1,33,71,1,72
2010,노원구,28,-,28,126,1,132
2010,은평구,64,-,66,75,-,83
2010,서대문구,16,1,15,29,1,29
2010,마포구,36,-,37,81,-,85
2010,양천구,51,-,53,104,-,110
2010,강서구,69,1,69,70,-,74
2010,구로구,49,1,51,72,-,74
2010,금천구,32,-,34,37,-,38
2010,영등포구,106,3,111,133,3,139
2010,동작구,20,-,21,40,-,42
2010,관악구,27,-,30,47,-,47
2010,서초구,21,-,25,54,-,57
2010,강남구,25,-,29,68,1,72
2010,송파구,57,1,62,216,2,226
2010,강동구,37,1,37,142,1,143
2011,합계,"1,020",9,"1,067","1,997",10,"2,092"
2011,종로구,19,-,19,38,-,38
2011,중구,18,-,21,26,-,26
2011,용산구,17,-,19,35,-,37
2011,성동구,47,1,48,84,1,85
2011,광진구,26,-,28,102,1,102
2011,동대문구,57,-,57,111,-,117
2011,중랑구,85,2,87,81,1,88
2011,성북구,32,-,36,58,-,61
2011,강북구,26,-,30,54,1,56
2011,도봉구,29,-,31,73,1,76
2011,노원구,33,1,33,108,-,109
2011,은평구,44,-,44,72,-,73
2011,서대문구,6,-,6,27,-,28
2011,마포구,29,1,31,77,-,83
2011,양천구,41,-,44,139,1,148
2011,강서구,44,-,46,98,2,107
2011,구로구,49,1,52,55,2,59
2011,금천구,44,-,46,49,-,51
2011,영등포구,127,-,135,154,-,170
2011,동작구,29,-,29,38,-,40
2011,관악구,41,1,40,57,-,60
2011,서초구,34,-,36,39,-,42
2011,강남구,22,-,24,75,-,79
2011,송파구,68,1,71,221,-,226
2011,강동구,53,1,54,126,-,131
2012,합계,"1,388",19,"1,460","2,053",11,"2,135"
2012,종로구,14,-,15,39,-,40
2012,중구,12,-,13,18,-,18
2012,용산구,26,-,28,31,-,31
2012,성동구,41,-,50,71,-,80
2012,광진구,56,1,58,123,-,125
2012,동대문구,97,4,98,92,-,95
2012,중랑구,115,1,118,84,-,91
2012,성북구,45,1,47,67,-,70
2012,강북구,35,1,39,45,-,48
2012,도봉구,51,-,51,79,2,78
2012,노원구,46,1,51,120,1,122
2012,은평구,67,-,71,84,-,89
2012,서대문구,13,-,13,24,-,25
2012,마포구,70,1,73,89,2,93
2012,양천구,59,2,59,108,-,110
2012,강서구,62,-,65,100,1,104
2012,구로구,59,-,61,85,1,87
2012,금천구,58,2,63,48,-,53
