구분,대여소명,,대여일자,대여건수,반납건수,합계,위도,경도
마포구,101, (구)합정동 주민센터,201901,233,234,467,37.549561,126.905754
마포구,101, (구)합정동 주민센터,201902,203,227,430,37.549561,126.905754
마포구,101, (구)합정동 주민센터,201903,423,475,898,37.549561,126.905754
마포구,101, (구)합정동 주민센터,201904,640,734,1374,37.549561,126.905754
마포구,101, (구)합정동 주민센터,201905,1068,1128,2196,37.549561,126.905754
마포구,101, (구)합정동 주민센터,201906,1104,1094,2198,37.549561,126.905754
마포구,101, (구)합정동 주민센터,201907,1050,1060,2110,37.549561,126.905754
마포구,101, (구)합정동 주민센터,201908,976,963,1939,37.549561,126.905754
마포구,101, (구)합정동 주민센터,201909,850,848,1698,37.549561,126.905754
마포구,101, (구)합정동 주민센터,201910,1045,1070,2115,37.549561,126.905754
마포구,101, (구)합정동 주민센터,201911,646,670,1316,37.549561,126.905754
마포구,101, (구)합정동 주민센터,201912,424,396,820,37.549561,126.905754
마포구,101, (구)합정동 주민센터,202001,305,313,618,37.549561,126.905754
마포구,101, (구)합정동 주민센터,202002,308,307,615,37.549561,126.905754
마포구,101, (구)합정동 주민센터,202003,646,640,1286,37.549561,126.905754
마포구,101, (구)합정동 주민센터,202004,758,757,1515,37.549561,126.905754
마포구,101, (구)합정동 주민센터,202005,881,887,1768,37.549561,126.905754
마포구,101, (구)합정동 주민센터,202006,995,976,1971,37.549561,126.905754
마포구,102, 망원역 1번출구 앞,201901,766,825,1591,37.555649,126.910629
마포구,102, 망원역 1번출구 앞,201902,758,693,1451,37.555649,126.910629
마포구,102, 망원역 1번출구 앞,201903,1640,1654,3294,37.555649,126.910629
마포구,102, 망원역 1번출구 앞,201904,2694,2520,5214,37.555649,126.910629
마포구,102, 망원역 1번출구 앞,201905,4151,3800,7951,37.555649,126.910629
마포구,102, 망원역 1번출구 앞,201906,4337,3973,8310,37.555649,126.910629
마포구,102, 망원역 1번출구 앞,201907,3973,3646,7619,37.555649,126.910629
마포구,102, 망원역 1번출구 앞,201908,4285,3900,8185,37.555649,126.910629
마포구,102, 망원역 1번출구 앞,201909,3453,3336,6789,37.555649,126.910629
마포구,102, 망원역 1번출구 앞,201910,4648,4266,8914,37.555649,126.910629
마포구,102, 망원역 1번출구 앞,201911,2701,2567,5268,37.555649,126.910629
마포구,102, 망원역 1번출구 앞,201912,1537,1497,3034,37.555649,126.910629
마포구,102, 망원역 1번출구 앞,202001,1329,1294,2623,37.555649,126.910629
마포구,102, 망원역 1번출구 앞,202002,1296,1204,2500,37.555649,126.910629
마포구,102, 망원역 1번출구 앞,202003,2598,2516,5114,37.555649,126.910629
마포구,102, 망원역 1번출구 앞,202004,3428,3244,6672,37.555649,126.910629
마포구,102, 망원역 1번출구 앞,202005,3786,3583,7369,37.555649,126.910629
마포구,102, 망원역 1번출구 앞,202006,4138,3858,7996,37.555649,126.910629
마포구,103, 망원역 2번출구 앞,201901,600,626,1226,37.554951,126.910835
마포구,103, 망원역 2번출구 앞,201902,574,595,1169,37.554951,126.910835
마포구,103, 망원역 2번출구 앞,201903,1256,1303,2559,37.554951,126.910835
마포구,103, 망원역 2번출구 앞,201904,1873,1852,3725,37.554951,126.910835
마포구,103, 망원역 2번출구 앞,201905,2633,2490,5123,37.554951,126.910835
마포구,103, 망원역 2번출구 앞,201906,2914,2790,5704,37.554951,126.910835
마포구,103, 망원역 2번출구 앞,201907,2685,2581,5266,37.554951,126.910835
마포구,103, 망원역 2번출구 앞,201908,2609,2393,5002,37.554951,126.910835
마포구,103, 망원역 2번출구 앞,201909,2577,2540,5117,37.554951,126.910835
마포구,103, 망원역 2번출구 앞,201910,3055,3024,6079,37.554951,126.910835
마포구,103, 망원역 2번출구 앞,201911,1680,1653,3333,37.554951,126.910835
마포구,103, 망원역 2번출구 앞,201912,906,924,1830,37.554951,126.910835
마포구,103, 망원역 2번출구 앞,202001,772,831,1603,37.554951,126.910835
마포구,103, 망원역 2번출구 앞,202002,734,786,1520,37.554951,126.910835
마포구,103, 망원역 2번출구 앞,202003,1861,1913,3774,37.554951,126.910835
마포구,103, 망원역 2번출구 앞,202004,2636,2546,5182,37.554951,126.910835
마포구,103, 망원역 2번출구 앞,202005,3112,3060,6172,37.554951,126.910835
마포구,103, 망원역 2번출구 앞,202006,3041,2992,6033,37.554951,126.910835
마포구,104, 합정역 1번출구 앞,201901,647,589,1236,37.550629,126.914986
마포구,104, 합정역 1번출구 앞,201902,633,537,1170,37.550629,126.914986
마포구,104, 합정역 1번출구 앞,201903,1225,976,2201,37.550629,126.914986
마포구,104, 합정역 1번출구 앞,201904,1561,1346,2907,37.550629,126.914986
마포구,104, 합정역 1번출구 앞,201905,2456,2340,4796,37.550629,126.914986
마포구,104, 합정역 1번출구 앞,201906,2443,2352,4795,37.550629,126.914986
마포구,104, 합정역 1번출구 앞,201907,2323,2174,4497,37.550629,126.914986
마포구,104, 합정역 1번출구 앞,201908,2007,1781,3788,37.550629,126.914986
마포구,104, 합정역 1번출구 앞,201909,2163,2054,4217,37.550629,126.914986
마포구,104, 합정역 1번출구 앞,201910,2596,2475,5071,37.550629,126.914986
마포구,104, 합정역 1번출구 앞,201911,1896,1600,3496,37.550629,126.914986
마포구,104, 합정역 1번출구 앞,201912,1085,826,1911,37.550629,126.914986
마포구,104, 합정역 1번출구 앞,202001,905,707,1612,37.550629,126.914986
마포구,104, 합정역 1번출구 앞,202002,915,765,1680,37.550629,126.914986
마포구,104, 합정역 1번출구 앞,202003,1700,1555,3255,37.550629,126.914986
마포구,104, 합정역 1번출구 앞,202004,2183,2133,4316,37.550629,126.914986
마포구,104, 합정역 1번출구 앞,202005,2116,2104,4220,37.550629,126.914986
마포구,104, 합정역 1번출구 앞,202006,2131,2101,4232,37.550629,126.914986
마포구,105, 합정역 5번출구 앞,201901,417,302,719,37.550007,126.914825
마포구,105, 합정역 5번출구 앞,201902,430,293,723,37.550007,126.914825
마포구,105, 합정역 5번출구 앞,201903,757,564,1321,37.550007,126.914825
마포구,105, 합정역 5번출구 앞,201904,1057,868,1925,37.550007,126.914825
마포구,105, 합정역 5번출구 앞,201905,1373,1250,2623,37.550007,126.914825
마포구,105, 합정역 5번출구 앞,201906,1404,1333,2737,37.550007,126.914825
마포구,105, 합정역 5번출구 앞,201907,1178,1110,2288,37.550007,126.914825
마포구,105, 합정역 5번출구 앞,201908,1096,1020,2116,37.550007,126.914825
마포구,105, 합정역 5번출구 앞,201909,1137,1100,2237,37.550007,126.914825
마포구,105, 합정역 5번출구 앞,201910,1370,1313,2683,37.550007,126.914825
마포구,105, 합정역 5번출구 앞,201911,447,421,868,37.550007,126.914825
마포구,105, 합정역 5번출구 앞,201912,481,399,880,37.550007,126.914825
마포구,105, 합정역 5번출구 앞,202001,504,397,901,37.550007,126.914825
마포구,105, 합정역 5번출구 앞,202002,445,404,849,37.550007,126.914825
마포구,105, 합정역 5번출구 앞,202003,949,899,1848,37.550007,126.914825
마포구,105, 합정역 5번출구 앞,202004,1322,1302,2624,37.550007,126.914825
마포구,105, 합정역 5번출구 앞,202005,1537,1526,3063,37.550007,126.914825
마포구,105, 합정역 5번출구 앞,202006,1515,1462,2977,37.550007,126.914825
마포구,106, 합정역 7번출구 앞,201901,830,698,1528,37.548645,126.912827
마포구,106, 합정역 7번출구 앞,201902,849,805,1654,37.548645,126.912827
마포구,106, 합정역 7번출구 앞,201903,1831,1762,3593,37.548645,126.912827
마포구,106, 합정역 7번출구 앞,201904,3556,3420,6976,37.548645,126.912827
마포구,106, 합정역 7번출구 앞,201905,5278,5220,10498,37.548645,126.912827
마포구,106, 합정역 7번출구 앞,201906,5258,5182,10440,37.548645,126.912827
마포구,106, 합정역 7번출구 앞,201907,3899,3725,7624,37.548645,126.912827
마포구,106, 합정역 7번출구 앞,201908,4297,4147,8444,37.548645,126.912827
마포구,106, 합정역 7번출구 앞,201909,4602,4549,9151,37.548645,126.912827
마포구,106, 합정역 7번출구 앞,201910,5510,5452,10962,37.548645,126.912827
마포구,106, 합정역 7번출구 앞,201911,2844,2740,5584,37.548645,126.912827
마포구,106, 합정역 7번출구 앞,201912,1268,1133,2401,37.548645,126.912827
마포구,106, 합정역 7번출구 앞,202001,1109,1009,2118,37.548645,126.912827
마포구,106, 합정역 7번출구 앞,202002,1299,1304,2603,37.548645,126.912827
마포구,106, 합정역 7번출구 앞,202003,4332,4450,8782,37.548645,126.912827
마포구,106, 합정역 7번출구 앞,202004,6237,6280,12517,37.548645,126.912827
마포구,106, 합정역 7번출구 앞,202005,6221,6216,12437,37.548645,126.912827
마포구,106, 합정역 7번출구 앞,202006,5561,5535,11096,37.548645,126.912827
마포구,107, 신한은행 서교동금융센터점 앞,201901,884,1285,2169,37.55751,126.918503
마포구,107, 신한은행 서교동금융센터점 앞,201902,699,1013,1712,37.55751,126.918503
마포구,107, 신한은행 서교동금융센터점 앞,201903,1318,1847,3165,37.55751,126.918503
마포구,107, 신한은행 서교동금융센터점 앞,201904,1839,2402,4241,37.55751,126.918503
마포구,107, 신한은행 서교동금융센터점 앞,201905,2883,3364,6247,37.55751,126.918503
마포구,107, 신한은행 서교동금융센터점 앞,201906,3054,3529,6583,37.55751,126.918503
