기준연도,구,일,월,화,수,목,금,토,합계
2016,종로구,3,4,5,4,2,2,3,23
2016,중구,2,-,-,1,-,2,1,6
2016,용산구,13,7,3,5,7,6,14,55
2016,성동구,9,14,10,9,2,7,18,69
2016,동대문구,15,20,15,28,18,20,19,135
2016,성북구,2,9,3,6,10,7,6,43
2016,도봉구,8,14,12,10,9,13,10,76
2016,은평구,10,13,6,11,6,9,7,62
2016,서대문구,7,5,5,4,7,4,5,37
2016,마포구,8,9,14,8,3,7,7,56
2016,강서구,16,23,12,22,17,17,20,127
2016,구로구,7,12,12,12,8,12,27,90
2016,영등포구,35,22,27,31,33,39,29,216
2016,동작구,11,6,13,9,11,13,18,81
2016,관악구,7,7,7,4,4,5,5,39
2016,강남구,13,11,12,10,16,13,10,85
2016,강동구,19,8,13,12,14,20,13,99
2016,송파구,35,24,41,26,33,34,45,238
2016,서초구,6,10,4,7,6,8,8,49
2016,양천구,10,12,11,17,24,20,15,109
2016,중랑구,12,20,12,21,23,9,18,115
2016,노원구,9,18,16,13,11,8,19,94
2016,광진구,11,7,6,10,16,7,9,66
2016,강북구,4,8,8,10,6,8,4,48
2016,금천구,4,7,4,4,4,4,6,33
2017,종로구,3,1,6,6,5,5,3,29
2017,중구,-,4,1,1,1,2,3,12
2017,용산구,12,1,12,3,10,4,5,47
2017,성동구,6,9,6,11,13,8,11,64
2017,동대문구,10,13,15,18,20,15,19,110
2017,성북구,3,7,7,9,12,7,9,54
2017,도봉구,7,12,11,10,9,11,8,68
2017,은평구,10,6,4,5,8,13,6,52
2017,서대문구,3,1,3,6,7,9,-,29
2017,마포구,11,3,7,2,7,11,8,49
2017,강서구,11,12,16,15,12,12,15,93
2017,구로구,7,7,8,9,5,8,7,51
2017,영등포구,34,29,15,8,19,20,38,163
2017,동작구,6,7,12,4,5,7,24,65
2017,관악구,1,9,7,6,7,7,2,39
2017,강남구,8,11,11,9,6,11,12,68
2017,강동구,13,8,4,12,17,17,11,82
2017,송파구,23,34,31,28,43,34,48,241
2017,서초구,5,6,4,6,2,3,5,31
2017,양천구,12,6,6,10,10,20,14,78
2017,중랑구,8,20,16,27,21,23,12,127
2017,노원구,12,14,11,19,6,12,8,82
2017,광진구,6,10,11,6,11,9,9,62
2017,강북구,2,8,11,12,6,4,10,53
2017,금천구,2,4,5,7,2,3,4,27
2018,종로구,1,1,3,3,5,4,5,22
2018,중구,-,1,3,2,3,3,1,13
2018,용산구,7,-,12,2,4,6,3,34
2018,성동구,8,7,5,6,8,7,10,51
2018,동대문구,9,14,16,19,19,14,23,114
2018,성북구,6,6,7,8,6,5,3,41
2018,도봉구,6,5,7,6,12,6,3,45
2018,은평구,7,11,9,4,8,8,7,54
2018,서대문구,7,4,4,5,5,6,4,35
2018,마포구,9,3,6,5,9,8,6,46
2018,강서구,8,4,5,10,11,13,8,59
2018,구로구,7,3,7,13,7,13,9,59
2018,영등포구,29,17,22,34,26,25,19,172
2018,동작구,10,7,11,9,14,11,9,71
2018,관악구,5,3,6,-,2,5,3,24
2018,강남구,4,9,8,12,11,15,9,68
2018,강동구,7,8,12,11,10,8,14,70
2018,송파구,32,23,27,34,21,27,32,196
2018,서초구,9,5,3,4,5,7,5,38
2018,양천구,4,14,10,8,7,7,4,54
2018,중랑구,8,19,8,11,17,5,12,80
2018,노원구,10,15,14,10,13,16,10,88
2018,광진구,12,7,11,13,10,11,8,72
2018,강북구,4,6,6,7,5,5,8,41
2018,금천구,3,5,4,4,4,2,4,26
2019,종로구,1,2,2,4,3,1,5,18
2019,중구,4,3,4,5,3,4,2,25
2019,용산구,8,3,3,-,4,3,2,23
2019,성동구,9,12,12,6,13,4,12,68
2019,동대문구,10,17,20,20,15,20,18,120
2019,성북구,5,3,7,7,5,7,5,39
2019,도봉구,11,10,5,12,17,12,10,77
2019,은평구,7,9,9,18,13,5,8,69
2019,서대문구,7,8,8,7,7,7,5,49
2019,마포구,7,7,11,5,10,10,8,58
2019,강서구,4,6,14,17,9,11,18,79
2019,구로구,6,14,12,7,13,17,9,78
2019,영등포구,35,30,39,29,23,25,38,219
2019,동작구,13,9,3,11,6,8,13,63
2019,관악구,9,8,4,8,6,6,5,46
2019,강남구,8,11,10,8,7,17,9,70
2019,강동구,10,10,13,6,13,13,13,78
2019,송파구,36,39,25,39,37,41,28,245
2019,서초구,6,8,4,9,7,11,5,50
2019,양천구,10,9,8,14,10,13,6,70
2019,중랑구,14,17,15,22,8,17,12,105
2019,노원구,11,13,24,14,21,24,19,126
2019,광진구,3,10,11,6,13,11,11,65
2019,강북구,3,8,10,7,11,16,7,62
2019,금천구,4,3,9,6,13,8,5,48
2020,종로구,5,5,2,3,5,1,2,23
2020,중구,4,6,1,4,2,1,3,21
2020,용산구,2,1,3,5,3,-,8,22
2020,성동구,16,15,17,15,10,8,21,102
2020,동대문구,13,11,28,15,25,22,12,126
2020,성북구,3,6,7,8,9,10,1,44
2020,도봉구,1,7,9,11,13,7,12,60
2020,은평구,4,9,7,9,6,9,2,46
2020,서대문구,3,5,10,3,5,10,3,39
2020,마포구,7,3,6,7,15,8,13,59
2020,강서구,12,9,14,9,11,14,10,79
2020,구로구,4,11,10,8,16,11,5,65
2020,영등포구,61,31,21,31,32,22,40,238
2020,동작구,22,8,6,11,6,11,17,81
2020,관악구,3,6,6,4,6,7,11,43
2020,강남구,29,8,11,15,20,12,22,117
2020,강동구,18,9,10,18,9,10,10,84
2020,송파구,36,27,42,26,24,35,43,233
2020,서초구,16,9,8,10,8,6,7,64
2020,양천구,3,20,9,17,7,25,12,93
2020,중랑구,9,14,22,14,33,19,14,125
2020,노원구,19,23,16,14,18,17,14,121
2020,광진구,4,5,7,9,11,4,8,48
2020,강북구,4,8,5,4,4,10,8,43
2020,금천구,7,7,4,5,8,6,5,42
