기준연도,구,일,월,화,수,목,금,토,합계
2016,종로구,3,4,4,4,2,2,3,22
2016,중구,2,-,-,1,-,2,1,6
2016,용산구,11,7,3,5,6,6,10,48
2016,성동구,9,11,10,8,2,7,16,63
2016,동대문구,15,19,14,24,18,19,19,128
2016,성북구,2,9,3,6,10,7,6,43
2016,도봉구,8,13,9,9,8,13,10,70
2016,은평구,9,10,6,11,6,8,6,56
2016,서대문구,7,5,5,5,6,4,4,36
2016,마포구,7,9,12,7,3,7,7,52
2016,강서구,15,22,12,22,17,17,20,125
2016,구로구,8,11,12,11,7,12,23,84
2016,영등포구,28,19,24,29,31,34,28,193
2016,동작구,8,5,10,8,8,14,14,67
2016,관악구,7,7,7,4,4,5,5,39
2016,강남구,11,11,10,9,13,11,9,74
2016,강동구,17,8,11,12,14,17,12,91
2016,송파구,30,20,38,22,27,29,40,206
2016,서초구,6,9,4,7,6,8,8,48
2016,양천구,9,12,11,16,23,19,14,104
2016,중랑구,11,19,11,20,20,9,14,104
2016,노원구,9,18,16,12,10,8,18,91
2016,광진구,10,6,5,10,15,7,9,62
2016,강북구,4,7,8,8,6,5,3,41
2016,금천구,3,7,4,4,4,4,5,31
2017,종로구,3,1,6,6,5,5,3,29
2017,중구,-,4,1,1,1,2,3,12
2017,용산구,11,1,9,3,8,4,5,41
2017,성동구,6,9,6,12,13,8,9,63
2017,동대문구,9,13,16,17,18,15,19,107
2017,성북구,3,7,7,8,11,6,9,51
2017,도봉구,7,12,11,9,8,11,8,66
2017,은평구,9,6,4,5,8,13,6,51
2017,서대문구,3,1,3,5,7,7,-,26
2017,마포구,11,3,7,2,7,11,7,48
2017,강서구,11,11,15,13,12,11,14,87
2017,구로구,7,6,8,9,5,7,7,49
2017,영등포구,29,26,15,8,19,18,35,150
2017,동작구,6,7,8,4,6,7,16,54
2017,관악구,1,8,6,6,7,6,2,36
2017,강남구,7,10,10,8,6,10,12,63
2017,강동구,13,9,4,12,13,17,12,80
2017,송파구,21,31,26,27,35,30,44,214
2017,서초구,5,6,4,6,2,2,5,30
2017,양천구,12,6,6,10,10,19,13,76
2017,중랑구,7,18,16,20,20,21,12,114
2017,노원구,9,13,11,18,6,12,8,77
2017,광진구,6,10,9,6,11,9,9,60
2017,강북구,2,8,10,8,6,4,8,46
2017,금천구,2,4,5,7,2,3,3,26
2018,종로구,1,1,3,3,5,3,5,21
2018,중구,-,1,4,2,3,3,1,14
2018,용산구,7,-,7,2,3,5,2,26
2018,성동구,8,6,5,6,6,7,9,47
2018,동대문구,9,13,16,17,16,12,22,105
2018,성북구,6,6,7,8,6,5,3,41
2018,도봉구,6,5,7,7,12,5,3,45
2018,은평구,5,11,8,3,8,9,7,51
2018,서대문구,5,3,3,4,5,6,4,30
2018,마포구,8,3,7,5,9,7,6,45
2018,강서구,8,4,5,11,10,13,8,59
2018,구로구,6,3,7,12,7,12,6,53
2018,영등포구,26,16,21,30,26,23,19,161
2018,동작구,8,6,10,9,11,10,9,63
2018,관악구,5,4,6,-,2,5,3,25
2018,강남구,4,9,8,8,8,12,10,59
2018,강동구,7,8,11,11,10,8,11,66
2018,송파구,27,23,25,32,21,25,25,178
2018,서초구,9,5,2,4,5,7,4,36
2018,양천구,2,11,10,8,6,6,3,46
2018,중랑구,8,18,8,11,16,5,12,78
2018,노원구,9,14,15,10,13,15,10,86
2018,광진구,11,7,10,13,10,11,8,70
2018,강북구,4,6,7,7,5,5,7,41
2018,금천구,3,4,4,4,4,2,4,25
2019,종로구,1,2,3,4,3,1,5,19
2019,중구,3,3,3,5,3,4,2,23
2019,용산구,8,3,3,-,3,3,2,22
2019,성동구,8,11,11,5,12,4,12,63
2019,동대문구,9,17,18,18,14,18,16,110
2019,성북구,4,3,6,7,5,7,5,37
2019,도봉구,9,10,5,9,10,9,10,62
2019,은평구,6,10,9,16,8,5,8,62
2019,서대문구,7,8,9,7,6,6,5,48
2019,마포구,5,7,8,5,10,9,8,52
2019,강서구,4,5,13,15,9,11,15,72
2019,구로구,6,14,11,5,12,15,8,71
2019,영등포구,26,30,32,24,22,23,32,189
2019,동작구,9,9,3,10,5,8,9,53
2019,관악구,7,7,5,7,6,6,5,43
2019,강남구,5,9,8,8,7,15,8,60
2019,강동구,8,8,12,6,11,13,12,70
2019,송파구,28,36,23,37,33,38,23,218
2019,서초구,5,7,4,8,7,10,5,46
2019,양천구,10,9,8,14,10,13,6,70
2019,중랑구,13,18,14,19,8,16,11,99
2019,노원구,9,13,23,14,20,23,17,119
2019,광진구,3,9,11,6,11,10,11,61
2019,강북구,3,8,10,7,9,15,5,57
2019,금천구,4,3,8,3,12,6,4,40
2020,종로구,4,4,2,2,5,1,2,20
2020,중구,4,6,1,3,2,1,3,20
2020,용산구,2,1,3,5,2,-,5,18
2020,성동구,14,15,13,13,10,9,19,93
2020,동대문구,12,11,26,12,22,19,12,114
2020,성북구,3,6,7,7,7,9,1,40
2020,도봉구,1,7,9,10,13,8,9,57
2020,은평구,4,10,7,8,5,7,2,43
2020,서대문구,3,5,10,3,5,9,3,38
