,시군구,기준년도,합계,0시~2시,2시~4시,4시~6시,6시~8시,8시~10시,10시~12시,12시~14시,14시~16시,16시~18시,18시~20시,20시~22시,22시~24시
2016,합계,사고건수,"1,884",42,16,44,121,214,170,199,239,299,202,204,134
2016,합계,사망자수,15,0,0,3,1,1,2,1,0,3,1,2,1
2016,합계,부상자수,"2,051",46,16,46,125,225,180,206,256,330,225,238,158
2016,종로구,사고건수,22,1,-,2,3,-,2,4,4,3,1,1,1
2016,종로구,사망자수,0,0,-,0,0,-,0,0,0,0,0,0,0
2016,종로구,부상자수,23,1,-,2,3,-,2,4,4,4,1,1,1
2016,중구,사고건수,6,-,-,-,1,-,1,1,-,1,1,-,1
2016,중구,사망자수,0,-,-,-,0,-,0,0,-,0,0,-,0
2016,중구,부상자수,6,-,-,-,1,-,1,1,-,1,1,-,1
2016,용산구,사고건수,48,-,-,1,3,3,4,7,12,7,4,2,5
2016,용산구,사망자수,0,-,-,0,0,0,0,0,0,0,0,0,0
2016,용산구,부상자수,55,-,-,1,3,3,4,7,13,10,4,3,7
2016,성동구,사고건수,63,-,-,-,3,5,9,3,6,13,7,9,8
2016,성동구,사망자수,1,-,-,-,0,0,1,0,0,0,0,0,0
2016,성동구,부상자수,69,-,-,-,3,5,9,3,6,14,8,13,8
2016,동대문구,사고건수,128,4,1,1,6,14,15,9,13,20,16,17,12
2016,동대문구,사망자수,1,0,0,0,0,0,0,0,0,0,0,1,0
2016,동대문구,부상자수,135,5,1,1,6,14,15,10,15,20,16,18,14
2016,성북구,사고건수,43,2,-,-,4,7,5,5,7,6,3,2,2
2016,성북구,사망자수,0,0,-,-,0,0,0,0,0,0,0,0,0
2016,성북구,부상자수,43,2,-,-,4,7,5,5,7,6,3,2,2
2016,도봉구,사고건수,70,-,-,-,5,6,11,4,13,8,8,10,5
2016,도봉구,사망자수,1,-,-,-,0,0,0,0,0,0,0,1,0
2016,도봉구,부상자수,76,-,-,-,5,8,12,4,14,10,8,10,5
2016,은평구,사고건수,56,1,-,2,2,9,6,5,4,11,3,10,3
2016,은평구,사망자수,2,0,-,2,0,0,0,0,0,0,0,0,0
2016,은평구,부상자수,62,1,-,1,2,9,7,5,4,11,3,16,3
2016,서대문구,사고건수,36,1,-,1,2,6,5,5,1,3,4,6,2
2016,서대문구,사망자수,1,0,-,0,0,0,0,1,0,0,0,0,0
2016,서대문구,부상자수,37,1,-,1,2,6,5,4,2,3,4,7,2
2016,마포구,사고건수,52,3,-,1,3,8,4,7,5,9,2,5,5
2016,마포구,사망자수,0,0,-,0,0,0,0,0,0,0,0,0,0
