기간,자치구,자치구(2),합계,합계,자전거전용도로,자전거전용도로,자전거보행자겸용도로,자전거보행자겸용도로,자전거전용차로,자전거전용차로,자전거우선도로,자전거우선도로
기간,자치구,자치구(2),구간,길이,구간,길이,구간,길이,구간,길이,구간,길이
2015,합계,합계,479,778.8,85,99.5,299,577.8,39,51.8,56,49.7
2015,도로변,소계,415,517.8,71,71.6,249,344.7,39,51.8,56,49.7
2015,도로변,종로구,18,18.1,-,-,5,5.8,4,2.3,9,10
2015,도로변,중구,13,13.9,-,-,2,2.4,-,-,11,11.5
2015,도로변,용산구,12,11.5,3,1.5,9,10,-,-,-,-
2015,도로변,성동구,12,14.1,1,0.3,6,6.9,2,4.3,3,2.6
2015,도로변,광진구,18,31.1,-,-,16,24.5,1,4.6,1,2
2015,도로변,동대문구,9,8,3,1.4,5,5.2,1,1.4,-,-
2015,도로변,중랑구,4,3,3,2.6,1,0.4,-,-,-,-
2015,도로변,성북구,8,10.1,1,0.3,6,7.4,1,2.4,-,-
2015,도로변,강북구,5,9.3,1,0.1,2,3.1,2,6.1,-,-
2015,도로변,도봉구,4,8.2,1,0.7,3,7.5,-,-,-,-
2015,도로변,노원구,24,28,1,0.8,17,19.7,6,7.5,-,-
2015,도로변,은평구,12,16.9,-,-,11,14.6,1,2.3,-,-
2015,도로변,서대문구,18,9.1,3,1.6,-,-,-,-,15,7.5
2015,도로변,마포구,26,30.1,1,2.3,6,9.8,7,6.4,12,11.6
2015,도로변,양천구,30,31.9,11,16.1,19,15.8,-,-,-,-
2015,도로변,강서구,30,26.2,11,7.1,19,19.1,-,-,-,-
2015,도로변,구로구,14,10.9,4,2.3,8,7.6,-,-,2,1
2015,도로변,금천구,5,7.5,2,4.2,3,3.3,-,-,-,-
2015,도로변,영등포구,31,24.1,8,4.6,11,6.9,12,12.6,-,-
2015,도로변,동작구,12,10,-,-,12,10,-,-,-,-
2015,도로변,관악구,13,15.2,1,2.9,5,8.8,-,-,7,3.5
2015,도로변,서초구,19,19.6,1,2.9,17,16,1,0.7,-,-
2015,도로변,강남구,21,50,3,2.9,18,47.1,-,-,-,-
2015,도로변,송파구,52,79,11,15.3,38,60.7,3,3,-,-
2015,도로변,강동구,29,35.4,1,1.7,27,33.1,1,0.6,-,-
2015,기타,소계,64,261,14,27.9,50,233.1,-,-,-,-
2015,기타,교량,7,6.3,1,1.1,6,5.2,-,-,-,-
2015,기타,하천,53,249.4,11,23.1,42,226.3,-,-,-,-
2015,기타,공원,4,5.3,2,3.7,2,1.6,-,-,-,-
2016,합계,합계,540,868.7,87,104.2,318,596.6,39,54.9,96,113
2016,도로변,소계,477,601.7,74,74.7,268,359.1,39,54.9,96,113
2016,도로변,종로구,17,17.5,-,-,4,4.1,3,2.3,10,11.1
2016,도로변,중구,11,13.7,-,-,2,2.4,-,-,9,11.3
2016,도로변,용산구,16,22.7,3,1.5,8,9.4,-,-,5,11.7
2016,도로변,성동구,20,20.5,2,0.6,10,9.1,1,5.5,7,5.3
2016,도로변,광진구,20,30.9,-,-,16,24.5,1,3.4,3,3
2016,도로변,동대문구,16,22.4,3,1.4,5,5.2,1,1.4,7,14.4
2016,도로변,중랑구,8,5.9,4,3.1,4,2.9,-,-,-,-
2016,도로변,성북구,7,10.1,1,0.3,6,7.4,-,2.4,-,-
2016,도로변,강북구,4,8.9,1,0.1,1,2.7,2,6.1,-,-
2016,도로변,도봉구,5,8.4,1,0.7,4,7.8,-,-,-,-
2016,도로변,노원구,25,28.2,1,0.8,18,20,6,7.4,-,-
2016,도로변,은평구,11,16.7,-,-,10,14.4,1,2.3,-,-
2016,도로변,서대문구,26,17.8,1,0.4,6,4,2,1.9,17,11.6
2016,도로변,마포구,32,34.4,3,2.8,4,5.4,7,6.5,18,19.8
2016,도로변,양천구,33,37.1,11,16.1,20,15.8,-,-,2,5.2
2016,도로변,강서구,31,27.2,12,8.1,19,19.1,-,-,-,-
2016,도로변,구로구,16,10.8,4,1.5,9,7.9,1,0.4,2,1
2016,도로변,금천구,7,9.5,2,3.8,5,5.7,-,-,-,-
2016,도로변,영등포구,42,36.5,8,4.6,10,5.1,12,12.6,12,14.2
2016,도로변,동작구,13,10.7,-,-,12,10.4,-,-,1,0.3
2016,도로변,관악구,16,20,1,2.9,6,12.8,-,-,9,4.3
2016,도로변,서초구,20,20.4,-,-,18,18,2,2.4,-,-
2016,도로변,강남구,26,51.7,3,4.4,22,47.1,1,0.2,-,-
2016,도로변,송파구,51,86.3,11,18.4,39,65.8,1,2,-,-
2016,도로변,강동구,30,37,2,3.3,27,33.1,1,0.6,-,-
2016,기타,소계,63,267,13,29.5,50,237.5,-,-,-,-
2016,기타,교량,8,7.3,1,1.1,7,6.2,-,-,-,-
2016,기타,하천,51,254.4,10,24.7,41,229.7,-,-,-,-
2016,기타,공원,4,5.3,2,3.7,2,1.6,-,-,-,-
2017,합계,합계,554,888.7,83,114,322,606.9,51,54.7,98,113.1
2017,도로변,소계,492,614.6,71,83.7,272,363.1,51,54.7,98,113.1
2017,도로변,종로구,22,20.5,-,-,6,5.7,6,3.6,10,11.2
2017,도로변,중구,13,15.3,-,-,2,2.4,1,0.7,10,12.2
2017,도로변,용산구,17,22.7,2,1,9,11.2,1,0.5,5,10
2017,도로변,성동구,22,20.5,3,0.6,10,9.1,2,5.5,7,5.3
2017,도로변,광진구,20,31.1,-,-,16,25.3,1,2.1,3,3.7
2017,도로변,동대문구,16,22.2,3,1.2,5,5.2,1,1.4,7,14.4
2017,도로변,중랑구,8,6,4,3.1,4,2.9,-,-,-,-
2017,도로변,성북구,8,10.1,1,0.3,6,7.4,1,2.4,-,-
2017,도로변,강북구,4,7,1,0.1,1,2.7,2,4.2,-,-
2017,도로변,도봉구,4,12.2,1,0.7,3,11.5,-,-,-,-
2017,도로변,노원구,25,28.3,1,0.9,17,20,7,7.4,-,-
2017,도로변,은평구,17,26.7,-,-,16,24.4,1,2.3,-,-
2017,도로변,서대문구,25,18.3,1,0.4,5,4.9,2,1.9,17,11.1
2017,도로변,마포구,32,31.9,4,2.7,4,5.4,7,4.8,17,19
2017,도로변,양천구,31,38.2,11,15.6,18,17.5,-,-,2,5.1
2017,도로변,강서구,32,25.6,6,5,20,17.2,6,3.4,-,-
2017,도로변,구로구,15,10.8,3,1.4,9,8,1,0.4,2,1
2017,도로변,금천구,7,8.1,2,3.8,5,4.3,-,-,-,-
2017,도로변,영등포구,42,36.3,7,3.7,10,4.9,12,12.2,13,15.5
2017,도로변,동작구,13,11.5,-,-,12,11.2,-,-,1,0.3
2017,도로변,관악구,15,19.4,1,2.9,5,12.2,-,-,9,4.3
2017,도로변,서초구,21,21.2,-,-,19,18.8,2,2.4,-,-
2017,도로변,강남구,26,52.5,3,4.4,23,48.1,-,-,-,-
2017,도로변,송파구,50,83.4,12,30.9,37,50.6,1,1.9,-,-
2017,도로변,강동구,33,38.2,5,5,28,33.2,-,-,-,-
2017,기타,소계,62,274.1,12,30.3,50,243.8,-,-,-,-
2017,기타,교량,8,7.3,1,1.1,7,6.2,-,-,-,-
2017,기타,하천,49,260.8,9,25.5,40,235.3,-,-,-,-
2017,기타,공원,5,6,2,3.7,3,2.3,-,-,-,-
2018,합계,합계,562,916,95,138.8,322,611.6,48,55,97,110.6
2018,도로변,소계,504,639,78,87.9,281,385.5,48,55,97,110.6
2018,도로변,종로구,22,23.7,1,4.1,6,5.9,6,5.8,9,7.9
2018,도로변,중구,13,15.4,-,-,2,2.4,1,0.7,10,12.3
2018,도로변,용산구,16,22.1,3,1.6,8,10.4,-,-,5,10.1
2018,도로변,성동구,22,20.6,3,0.6,10,9.2,2,5.5,7,5.3
2018,도로변,광진구,22,29.8,1,0.4,17,25.1,1,0.5,3,3.8
2018,도로변,동대문구,22,24.3,4,2.5,11,7.4,-,-,7,14.4
2018,도로변,중랑구,8,6.1,4,3.2,4,2.9,-,-,-,-
2018,도로변,성북구,7,8,1,0.3,5,5.3,1,2.4,-,-
2018,도로변,강북구,3,7,-,-,1,2.7,2,4.3,-,-
2018,도로변,도봉구,4,12.3,1,0.7,3,11.6,-,-,-,-
2018,도로변,노원구,25,28.3,1,0.9,17,19.9,7,7.5,-,-
2018,도로변,은평구,17,26.9,-,-,16,24.6,1,2.3,-,-
2018,도로변,서대문구,28,19.4,1,0.4,8,5.9,2,1.9,17,11.2
2018,도로변,마포구,33,33.4,5,4.2,4,5.4,7,4.8,17,19
2018,도로변,양천구,28,40,13,20.2,13,14.7,-,-,2,5.1
2018,도로변,강서구,34,27.9,9,5.4,25,22.5,-,-,-,-
2018,도로변,구로구,15,10.9,2,1,9,8.1,2,0.8,2,1
2018,도로변,금천구,7,8.2,2,3.8,5,4.4,-,-,-,-
2018,도로변,영등포구,43,36.6,7,3.3,10,5,12,12.4,14,15.9
2018,도로변,동작구,14,13.4,-,-,13,13.1,-,-,1,0.3
2018,도로변,관악구,15,19.5,1,3,5,12.2,-,-,9,4.3
2018,도로변,서초구,23,23.5,-,-,20,19,3,4.5,-,-
2018,도로변,강남구,27,52.6,3,3.1,22,48,2,1.5,-,-
2018,도로변,송파구,50,91.7,12,22,37,67.8,1,1.9,-,-
2018,도로변,강동구,33,40.8,5,7.2,27,33,1,0.6,-,-
2018,기타,소계,58,277,17,50.9,41,226.1,-,-,-,-
2018,기타,교량,8,7.3,1,1.1,7,6.2,-,-,-,-
2018,기타,하천,45,263.7,14,46.1,31,217.6,-,-,-,-
2018,기타,공원,5,6,2,3.7,3,2.3,-,-,-,-
2019,합계,합계,590,940.6,100,148.7,340,622,53,58.9,97,111
2019,도로변,소계,528,662.7,85,98.4,293,394.4,53,58.9,97,111
2019,도로변,종로구,24,23.7,-,-,6,5.9,10,10.9,8,6.9
2019,도로변,중구,12,15.4,-,-,2,2.4,1,0.7,9,12.3
2019,도로변,용산구,19,22.7,3,2,11,10.6,-,-,5,10.1
2019,도로변,성동구,21,19.9,2,0.6,10,9.2,2,4.8,7,5.3
2019,도로변,광진구,23,29.8,1,0.4,18,25.1,1,0.5,3,3.8
2019,도로변,동대문구,21,23.9,3,1.1,10,7,1,1.4,7,14.4
2019,도로변,중랑구,9,6.6,4,3.2,5,3.4,-,-,-,-
2019,도로변,성북구,8,7.7,1,0.3,5,4.7,1,2.4,1,0.3
2019,도로변,강북구,3,7,-,-,1,2.7,2,4.3,-,-
2019,도로변,도봉구,4,12.3,1,0.7,3,11.6,-,-,-,-
2019,도로변,노원구,25,28.3,1,0.9,17,19.9,7,7.5,-,-
2019,도로변,은평구,18,26.9,-,-,17,24.6,1,2.3,-,-
2019,도로변,서대문구,27,19.4,1,0.4,7,5.9,2,1.9,17,11.2
