대여일자,대여건수
2016-01-01,523
2016-01-02,750
2016-01-03,679
2016-01-04,841
2016-01-05,789
2016-01-06,787
2016-01-07,772
2016-01-08,717
2016-01-09,478
2016-01-10,545
2016-01-11,735
2016-01-12,681
2016-01-13,594
2016-01-14,600
2016-01-15,761
2016-01-16,516
2016-01-17,587
2016-01-18,487
2016-01-19,339
2016-01-20,445
2016-01-21,529
2016-01-22,540
2016-01-23,242
2016-01-24,137
2016-01-25,448
2016-01-26,479
2016-01-27,717
2016-01-28,776
2016-01-29,742
2016-01-30,630
2016-01-31,343
2016-02-01,581
2016-02-02,587
2016-02-03,689
2016-02-04,731
2016-02-05,629
2016-02-06,378
2016-02-07,250
2016-02-08,222
2016-02-09,426
2016-02-10,805
2016-02-11,1020
2016-02-12,203
2016-02-13,318
2016-02-14,252
2016-02-15,509
2016-02-16,521
2016-02-17,787
2016-02-18,855
2016-02-19,895
2016-02-20,657
2016-02-21,569
2016-02-22,843
2016-02-23,761
2016-02-24,721
2016-02-25,836
2016-02-26,954
2016-02-27,855
2016-02-28,318
2016-02-29,476
2016-03-01,580
2016-03-02,933
2016-03-03,1314
2016-03-04,1904
2016-03-05,243
2016-03-06,1829
2016-03-07,1220
2016-03-08,1031
2016-03-09,960
2016-03-10,911
2016-03-11,964
2016-03-12,818
2016-03-13,832
2016-03-14,1283
2016-03-15,1471
2016-03-16,1625
2016-03-17,1692
2016-03-18,2330
2016-03-19,3113
2016-03-20,3183
2016-03-21,2080
2016-03-22,2061
2016-03-23,1927
2016-03-24,1940
2016-03-25,1961
2016-03-26,2204
2016-03-27,2384
2016-03-28,2283
2016-03-29,1653
2016-03-30,2311
2016-03-31,2632
2016-04-01,3391
2016-04-02,4226
2016-04-03,777
2016-04-04,3372
2016-04-05,3166
2016-04-06,3171
2016-04-07,2616
2016-04-08,3055
2016-04-09,2551
2016-04-10,2743
2016-04-11,3238
2016-04-12,2952
2016-04-13,3797
2016-04-14,2618
2016-04-15,3229
2016-04-16,987
2016-04-17,1837
2016-04-18,1771
2016-04-19,2860
2016-04-20,1759
2016-04-21,1613
2016-04-22,2496
2016-04-23,2163
2016-04-24,2982
2016-04-25,2958
2016-04-26,3309
2016-04-27,2909
2016-04-28,3279
2016-04-29,3515
2016-04-30,2671
2016-05-01,4043
2016-05-02,1737
2016-05-03,301
2016-05-04,2785
